RollNo,CourseNo,ColorGroup,Type,SortOrder
AE16B022,MA2020,NULL,CORE,NULL
AE16B022,AS2080,NULL,CORE,NULL
AE16B022,AS2510,NULL,CORE,NULL
AE16B022,AS2070slotE,NULL,CORE,NULL
AE16B023,AS2030,NULL,CORE,NULL
AE16B023,AS2050,NULL,CORE,NULL
AE16B023,AS2080,NULL,CORE,NULL
AE16B023,AS2510,NULL,CORE,NULL
AE16B023,AS2070slotE,NULL,CORE,NULL
AE16B024,AS2030,NULL,CORE,NULL
AE16B024,AS2050,NULL,CORE,NULL
AE16B024,MA2020,NULL,CORE,NULL
AE16B024,AS2080,NULL,CORE,NULL
AE16B024,AS2510,NULL,CORE,NULL
AE16B024,AS2070slotE,NULL,CORE,NULL
AE16B025,AS2030,NULL,CORE,NULL
AE16B025,AS2050,NULL,CORE,NULL
AE16B025,MA2020,NULL,CORE,NULL
AE16B025,AS2080,NULL,CORE,NULL
AE16B025,AS2510,NULL,CORE,NULL
AE16B025,AS2070slotE,NULL,CORE,NULL
AE16B026,AS2030,NULL,CORE,NULL
AE16B026,AS2050,NULL,CORE,NULL
AE16B026,MA2020,NULL,CORE,NULL
AE16B026,AS2080,NULL,CORE,NULL
AE16B026,AS2510,NULL,CORE,NULL
AE16B026,AS2070slotE,NULL,CORE,NULL
AE16B028,AS2030,NULL,CORE,NULL
AE16B028,AS2050,NULL,CORE,NULL
AE16B028,MA2020,NULL,CORE,NULL
AE16B028,AS2080,NULL,CORE,NULL
AE16B028,AS2510,NULL,CORE,NULL
AE16B028,AS2070slotF,NULL,CORE,NULL
AE16B029,AS2030,NULL,CORE,NULL
AE16B029,AS2050,NULL,CORE,NULL
AE16B029,MA2020,NULL,CORE,NULL
AE16B029,AS2080,NULL,CORE,NULL
AE16B029,AS2510,NULL,CORE,NULL
AE16B029,AS2070slotE,NULL,CORE,NULL
AE16B030,AS2030,NULL,CORE,NULL
AE16B030,AS2050,NULL,CORE,NULL
AE16B030,MA2020,NULL,CORE,NULL
AE16B030,AS2080,NULL,CORE,NULL
AE16B030,AS2510,NULL,CORE,NULL
AE16B030,AS2070slotE,NULL,CORE,NULL
AE16B031,AS2030,NULL,CORE,NULL
AE16B031,AS2050,NULL,CORE,NULL
AE16B031,MA2020,NULL,CORE,NULL
AE16B031,AS2080,NULL,CORE,NULL
AE16B031,AS2510,NULL,CORE,NULL
AE16B031,AS2070slotE,NULL,CORE,NULL
AE16B032,AS2030,NULL,CORE,NULL
AE16B032,AS2050,NULL,CORE,NULL
AE16B032,MA2020,NULL,CORE,NULL
AE16B032,AS2080,NULL,CORE,NULL
AE16B032,AS2510,NULL,CORE,NULL
AE16B032,AS2070slotE,NULL,CORE,NULL
AE16B034,AS2030,NULL,CORE,NULL
AE16B034,AS2050,NULL,CORE,NULL
AE16B034,MA2020,NULL,CORE,NULL
AE16B034,AS2080,NULL,CORE,NULL
AE16B034,AS2510,NULL,CORE,NULL
AE16B034,AS2070slotE,NULL,CORE,NULL
AE16B035,AS2030,NULL,CORE,NULL
AE16B035,AS2050,NULL,CORE,NULL
AE16B035,MA2020,NULL,CORE,NULL
AE16B035,AS2080,NULL,CORE,NULL
AE16B035,AS2510,NULL,CORE,NULL
AE16B035,AS2070slotE,NULL,CORE,NULL
AE16B036,AS2070slotE,NULL,CORE,NULL
AE16B036,AS2030,NULL,CORE,NULL
AE16B036,AS2050,NULL,CORE,NULL
AE16B036,MA2020,NULL,CORE,NULL
AE16B036,AS2080,NULL,CORE,NULL
AE16B036,AS2510,NULL,CORE,NULL
AE16B037,AS2030,NULL,CORE,NULL
AE16B037,AS2050,NULL,CORE,NULL
AE16B037,MA2020,NULL,CORE,NULL
AE16B037,AS2080,NULL,CORE,NULL
AE16B037,AS2510,NULL,CORE,NULL
AE16B037,AS2070slotF,NULL,CORE,NULL
AE16B038,AS2030,NULL,CORE,NULL
AE16B038,AS2050,NULL,CORE,NULL
AE16B038,MA2020,NULL,CORE,NULL
AE16B038,AS2080,NULL,CORE,NULL
AE16B038,AS2510,NULL,CORE,NULL
AE16B038,AS2070slotE,NULL,CORE,NULL
AE16B039,AS2030,NULL,CORE,NULL
AE16B039,AS2050,NULL,CORE,NULL
AE16B039,MA2020,NULL,CORE,NULL
AE16B039,AS2080,NULL,CORE,NULL
AE16B039,AS2510,NULL,CORE,NULL
AE16B039,AS2070slotE,NULL,CORE,NULL
AE16B040,AS2030,NULL,CORE,NULL
AE16B040,AS2050,NULL,CORE,NULL
AE16B040,MA2020,NULL,CORE,NULL
AE16B040,AS2080,NULL,CORE,NULL
AE16B040,AS2510,NULL,CORE,NULL
AE16B040,AS2070slotE,NULL,CORE,NULL
AE16B041,AS2030,NULL,CORE,NULL
AE16B041,AS2050,NULL,CORE,NULL
AE16B041,MA2020,NULL,CORE,NULL
AE16B041,AS2080,NULL,CORE,NULL
AE16B041,AS2510,NULL,CORE,NULL
AE16B041,AS2070slotE,NULL,CORE,NULL
AE16B042,AS2030,NULL,CORE,NULL
AE16B042,AS2050,NULL,CORE,NULL
AE16B042,MA2020,NULL,CORE,NULL
AE16B042,AS2080,NULL,CORE,NULL
AE16B042,AS2510,NULL,CORE,NULL
AE16B042,AS2070slotE,NULL,CORE,NULL
AE16B043,AS2030,NULL,CORE,NULL
AE16B043,AS2050,NULL,CORE,NULL
AE16B043,MA2020,NULL,CORE,NULL
AE16B043,AS2080,NULL,CORE,NULL
AE16B043,AS2510,NULL,CORE,NULL
AE16B043,AS2070slotE,NULL,CORE,NULL
AE16B044,AS2030,NULL,CORE,NULL
AE16B044,AS2050,NULL,CORE,NULL
AE16B044,MA2020,NULL,CORE,NULL
AE16B044,AS2080,NULL,CORE,NULL
AE16B044,AS2510,NULL,CORE,NULL
AE16B044,AS2070slotE,NULL,CORE,NULL
AE16B045,AS2030,NULL,CORE,NULL
AE16B045,AS2050,NULL,CORE,NULL
AE16B045,MA2020,NULL,CORE,NULL
AE16B045,AS2080,NULL,CORE,NULL
AE16B045,AS2510,NULL,CORE,NULL
AE16B045,AS2070slotF,NULL,CORE,NULL
AE16B045,EE1101,0,ELEC,1
AE16B046,AS2030,NULL,CORE,NULL
AE16B046,AS2050,NULL,CORE,NULL
AE16B046,MA2020,NULL,CORE,NULL
AE16B046,AS2080,NULL,CORE,NULL
AE16B046,AS2510,NULL,CORE,NULL
AE16B046,AS2070slotF,NULL,CORE,NULL
AE16B046,EE1100,0,ELEC,1
AE16B102,AS2030,NULL,CORE,NULL
AE16B102,AS2050,NULL,CORE,NULL
AE16B102,MA2020,NULL,CORE,NULL
AE16B102,AS2080,NULL,CORE,NULL
AE16B102,AS2510,NULL,CORE,NULL
AE16B102,AS2070slotE,NULL,CORE,NULL
AE16B103,AS2030,NULL,CORE,NULL
AE16B103,AS2050,NULL,CORE,NULL
AE16B103,MA2020,NULL,CORE,NULL
AE16B103,AS2080,NULL,CORE,NULL
AE16B103,AS2510,NULL,CORE,NULL
AE16B103,AS2070slotE,NULL,CORE,NULL
AE16B104,AS2030,NULL,CORE,NULL
AE16B104,AS2050,NULL,CORE,NULL
AE16B104,MA2020,NULL,CORE,NULL
