Student ID, Course Alloted
CH15B090,MA2020
CH15B093,MA2020
CH15B094,MA2040
CH15B095,MA2040
CH15B097,MA2010
EE15B001,MA2040
EE15B002,MA2031
EE15B003,MA2031
EE15B004,MA2031
EE15B005,MA2031
EE15B006,MA2031
EE15B007,MA2040
EE15B008,MA2031
EE15B009,MA2031
EE15B010,MA2031
EE15B011,MA2010
EE15B012,MA2031
EE15B014,MA2031
EE15B015,MA2031
EE15B016,MA2031
EE15B017,MA2031
EE15B018,MA2031
EE15B019,MA2031
EE15B020,MA2031
EE15B021,MA2031
EE15B022,MA2010
EE15B024,MA2031
EE15B025,MA2031
EE15B026,MA2020
EE15B027,MA2031
EE15B028,MA2031
EE15B029,MA2031
EE15B030,MA2031
EE15B031,MA2031
EE15B032,MA2040
EE15B033,MA2031
EE15B034,MA2040
EE15B035,MA2031
EE15B036,MA2031
EE15B037,MA2031
EE15B038,MA2031
EE15B039,MA2031
EE15B040,MA2031
EE15B041,MA2031
EE15B042,MA2031
EE15B043,MA2031
EE15B044,MA2031
EE15B045,MA2031
EE15B046,MA2031
EE15B047,MA2031
EE15B048,MA2031
EE15B049,MA2031
EE15B050,MA2031
EE15B051,MA2031
EE15B052,MA2130
EE15B053,MA2031
EE15B054,MA2031
EE15B055,MA2031
EE15B056,MA2010
EE15B057,MA2031
EE15B058,MA2031
EE15B059,MA2031
EE15B060,MA2031
EE15B062,MA2031
EE15B063,MA2031
EE15B064,MA2031
EE15B065,MA2031
EE15B066,MA2031
EE15B067,MA2031
EE15B068,MA2031
EE15B069,MA2040
EE15B070,MA2040
EE15B071,MA2031
EE15B072,MA2031
EE15B073,MA2031
EE15B074,MA2010
EE15B075,MA2031
EE15B076,MA2031
EE15B077,MA2031
EE15B078,MA2031
EE15B079,MA2031
EE15B080,MA2031
EE15B081,MA2031
EE15B082,MA2010
EE15B083,MA2010
EE15B084,MA2031
EE15B085,MA2040
EE15B086,MA2010
EE15B087,MA2031
EE15B088,MA2040
EE15B089,MA2040
EE15B090,MA2040
EE15B091,MA2031
EE15B092,MA2010
EE15B093,MA2031
EE15B094,MA2031
EE15B095,MA2031
EE15B096,MA2031
EE15B097,MA2031
EE15B098,MA2040
EE15B099,MA2031
EE15B100,MA2040
EE15B101,MA2020
EE15B102,MA2040
EE15B103,MA2040
EE15B104,MA2031
EE15B105,MA2130
EE15B106,MA2031
EE15B107,MA2031
EE15B108,MA2040
EE15B109,MA2031
EE15B110,MA2020
EE15B111,MA2031
EE15B112,MA2020
EE15B113,MA2040
EE15B114,MA2040
EE15B115,MA2040
EE15B116,MA2031
EE15B117,MA2010
EE15B118,MA2031
EE15B119,MA2031
EE15B120,MA2031
EE15B121,MA2020
EE15B122,MA2031
EE15B123,MA2031
EE15B124,MA2031
EE15B125,MA2031
EE15B126,MA2031
EE15B127,MA2031
EE15B128,MA2031
EE15B129,MA2031
EE15B130,MA2031
EE15B131,MA2031
EE15B132,MA2130
EE15B133,MA2031
EE15B134,MA2031
