Rollno,CGPA,Max Credits
CH16B022,6.34,63
CH16B023,8.47,63
CH16B024,8.55,63
CH16B025,7.83,63
CH16B026,6.7,63
CH16B027,6.78,63
CH16B028,7.47,63
CH16B029,7.26,63
CH16B030,9.06,63
CH16B031,4.96,63
CH16B032,5.08,63
CH16B033,8.67,63
CH16B034,3.88,63
CH16B035,7.42,63
CH16B036,2.57,63
CH16B037,9.16,63
CH16B038,7.61,63
CH16B039,6.9,63
CH16B040,4.25,63
CH16B041,6.54,63
CH16B042,7.2,63
CH16B043,7.51,63
CH16B044,7.2,63
CH16B045,8.92,63
CH16B046,9.24,63
CH16B047,8.6,63
CH16B048,6.01,63
CH16B049,8.25,63
CH16B050,7.99,63
CH16B051,3.27,63
CH16B052,6.66,63
CH16B053,6.58,63
CH16B054,8.92,63
CH16B055,7.73,63
CH16B056,7.28,63
CH16B057,8.54,63
CH16B058,9.32,63
CH16B059,8.15,63
CH16B060,6.17,63
CH16B061,8.8,63
CH16B062,8.58,63
CH16B063,7.97,63
CH16B064,8.94,63
CH16B065,6.55,63
CH16B066,7.53,63
CH16B067,6.54,63
CH16B068,2.05,63
CH16B069,6.3,63
CH16B070,7.77,63
CH16B071,9.77,63
CH16B072,7.2,63
CH16B101,6.96,63
CH16B102,4.12,63
CH16B103,8.07,63
CH16B104,5.43,63
CH16B105,5.6,63
CH16B106,8.07,63
CH16B107,9.21,63
CH16B108,9.3,63
CH16B109,7.22,63
CH16B110,7.44,63
CH16B111,7.89,63
CH16B112,6.92,63
CH16B113,9.25,63
CH16B114,8.19,63
CH16B115,8.4,63
CH16B116,5.13,63
CH16B117,7.64,63
CH16B118,8.17,63
CH16B119,8.68,63
CS15B001,9.63,63
CS15B002,7.46,63
CS15B003,7.87,63
CS15B004,8.25,63
CS15B005,6.97,63
CS15B006,8.22,63
CS15B007,8.32,63
CS15B008,8.06,63
CS15B009,8.75,63
CS15B010,7.55,63
CS15B011,7.22,63
CS15B012,8.79,63
CS15B013,7.7,63
CS15B014,9.56,72
CS15B015,9.42,72
CS15B016,9.63,63
CS15B017,4.91,63
CS15B018,4.82,63
CS15B019,3.11,63
CS15B020,7.93,63
CS15B021,4.14,63
CS15B022,8.07,63
CS15B023,8.16,63
CS15B024,7.77,63
CS15B025,9.43,63
CS15B026,3.24,63
CS15B027,7.36,63
CS15B028,7.67,63
CS15B029,6.8,63
CS15B030,8.51,63
CS15B031,8,63
CS15B032,7.53,63
CS15B033,7.81,63
CS15B034,9.66,63
CS15B035,8.93,63
CS15B036,6.14,63
CS15B037,8.99,63
CS15B038,7.83,63
CS15B039,9.69,72
CS15B040,7.36,63
CS15B041,6.38,63
CS15B042,8.71,63
CS15B043,8.06,63
CS15B044,7.82,63
CS15B045,4.04,63
CS15B046,9.7,72
CS15B047,9.54,72
CS15B048,9.65,72
CS15B049,7.43,63
CS15B050,8.21,63
CS15B051,5.64,63
CS15B052,9.79,72
CS15B053,8.24,63
CS15B054,7.05,63
CS15B055,2.36,63
CS15B056,9.13,63
CS15B057,9.96,72
CS15B058,9.53,72
CS15B059,9.77,63
CS15B060,9.57,63
CS15B061,9.71,72
CS16B001,9.02,63
CS16B002,7.21,63
CS16B003,8.15,63
CS16B004,9.34,63
CS16B005,9.67,63
CS16B006,8.86,63
CS16B007,8.25,63
CS16B008,9.01,63
CS16B009,8.33,63
CS16B010,8.6,63
CS16B011,9.75,63
CS16B012,9.53,63
CS16B013,8.46,63
CS16B014,1.06,63
CS16B015,4.04,63
CS16B016,9.09,63
CS16B017,8.84,63
CS16B018,8.71,63
CS16B019,7.77,63
CS16B020,8.14,63
CS16B021,9.97,63
CS16B022,9.27,63
CS16B023,6.93,63
CS16B024,8.26,63
CS16B025,9.84,63
CS16B026,9.28,63
CS16B027,2.34,63
CS16B028,7.34,63
CS16B029,9.53,63
CS16B030,9.28,63
CS16B031,8.54,63
CS16B032,8.81,63
CS16B033,8.74,63
CS16B034,8.42,63
CS16B035,7.62,63
CS16B036,6.53,63
CS16B037,9.43,63
CS16B038,9.11,63
CS16B039,9.32,63
CS16B040,4.77,63
CS16B041,9.12,63
CS16B042,8.18,63
CS16B043,9.55,63
CS16B044,9.32,63
CS16B045,9.14,63
CS16B046,9.18,63
CS16B047,8.64,63
CS16B101,9.72,63
CS16B102,9.31,63
CS16B103,8.12,63
CS16B104,2.35,63
CS16B105,7.47,63
CS16B106,8.95,63
CS16B107,9.97,63
CS16B108,9.65,63
CS16B109,8.95,63
CS16B110,9.69,63
CS16B111,8.15,63
CS16B112,9.43,63
CS16B113,8.47,63
CS16B114,9.51,63
CS16B115,9.57,63
ED15B001,8.74,72
ED15B003,8.25,63
ED15B004,6.14,63
ED15B005,8.02,63
ED15B006,8,63
ED15B007,7.92,63
ED15B008,6.31,63
ED15B009,5.41,63
ED15B010,9.3,63
ED15B011,8.39,63
ED15B012,8.96,63
ED15B013,9.23,63
ED15B014,3.5,63
ED15B015,6.18,63
ED15B016,6.83,63
ED15B017,4,63
ED15B018,9.21,72
ED15B019,8.57,63
ED15B020,8.69,63
ED15B021,8.92,72
ED15B022,8.1,63
ED15B023,6.39,63
ED15B024,6.91,63
ED15B025,3.69,63
ED15B026,8.07,63
ED15B027,8.86,63
ED15B028,7.44,63
ED15B029,6.15,63
ED15B030,6.31,63
ED15B031,8.66,63
ED15B032,5.62,63
ED15B033,5.15,63
ED15B034,5.21,63
ED15B035,8.71,63
ED15B036,7.83,63
ED15B037,7.27,63
ED15B038,2.29,63
ED15B039,4.36,63
ED15B040,6.25,63
ED15B041,8.98,63
ED15B042,6.13,63
ED15B043,8.69,63
ED15B044,7.58,63
ED15B045,2.45,63
ED15B046,5.29,63
ED15B047,7.82,63
ED15B048,6.6,63
ED15B050,9.43,72
ED15B051,7.14,63
ED15B052,7.84,63
ED15B053,7.88,63
ED15B054,2.16,63
ED15B055,6.62,63
ED15B056,7.25,63
ED16B001,7.18,63
ED16B002,8.76,63
ED16B003,5.53,63
ED16B004,7.92,63
ED16B005,7.39,63
ED16B006,6.92,63
ED16B007,7.7,63
ED16B008,7.14,63
ED16B009,8.7,63
ED16B010,7.66,63
ED16B011,7,63
ED16B012,5.07,63
ED16B013,6.04,63
ED16B014,5.74,63
ED16B015,8.25,63
ED16B016,7.42,63
ED16B017,7.44,63
ED16B018,7.19,63
ED16B019,6.27,63
ED16B020,6.18,63
ED16B021,4.88,63
ED16B022,6.92,63
ED16B023,6.09,63
ED16B024,5.41,63
ED16B025,7.71,63
ED16B026,7,63
ED16B027,0,63
ED16B028,6.08,63
ED16B029,5.75,63
ED16B030,7.62,63
ED16B031,8.3,63
ED16B032,8.69,63
ED16B033,6.5,63
ED16B034,7.19,63
ED16B035,5.85,63
ED16B036,5.37,63
ED16B037,5.05,63
ED16B038,5.18,63
ED16B039,6.2,63
ED16B040,8.44,63
ED16B041,3.55,63
ED16B042,4.22,63
ED16B043,7.46,63
ED16B044,7.76,63
ED16B045,4.34,63
ED16B046,5.38,63
ED16B048,7.3,63
ED16B049,8.15,63
ED16B050,7.96,63
ED16B051,7.8,63
ED16B052,7.98,63
ED16B054,7.73,63
ED16B055,4.05,63
ED16B056,8.08,63
ED16B057,8.71,63
ED16B058,8.58,63
ED16B059,7.86,63
EE15B001,6.85,63
EE15B002,9.33,63
EE15B003,8.46,63
EE15B004,8.88,63
EE15B005,7.8,63
EE15B006,9.54,63
EE15B007,9.66,72
EE15B008,7.75,63
EE15B009,9.11,63
EE15B010,7.27,63
EE15B011,8.99,72
EE15B012,9.72,63
EE15B013,9.8,63
EE15B014,8.5,63
EE15B015,8.51,63
EE15B016,7.62,63
EE15B017,8.41,63
EE15B018,8.47,63
EE15B019,9.04,63
EE15B020,7.7,63
EE15B021,8.76,63
EE15B022,6.9,63
EE15B023,9.88,63
EE15B024,6.81,63
EE15B025,8.85,63
EE15B026,6.76,63
EE15B027,8.59,63
EE15B028,8.83,63
EE15B029,7.25,63
EE15B030,5.95,63
EE15B031,5.81,63
EE15B032,8.14,63
EE15B033,8.48,63
EE15B034,7.92,63
EE15B035,9.01,63
EE15B036,7.6,63
EE15B037,8.56,63
EE15B038,8.49,63
EE15B039,8.89,63
EE15B040,8.53,63
EE15B041,7.82,63
EE15B042,9.18,63
EE15B043,9.13,63
EE15B044,8.07,63
EE15B045,6.25,63
EE15B046,6.47,63
EE15B047,9.24,72
EE15B048,8.44,63
EE15B049,8.39,63
EE15B050,7.92,63
EE15B051,8.1,63
EE15B052,8.73,63
EE15B053,8.86,63
EE15B054,9.08,63
EE15B055,7.69,63
EE15B056,6.83,63
EE15B057,9.2,63
EE15B058,8.9,63
EE15B059,5.31,63
EE15B060,5.28,63
EE15B062,6.25,63
EE15B063,5.65,63
EE15B064,8.01,63
EE15B065,8.06,63
EE15B066,6.41,63
EE15B067,7.6,63
EE15B068,8.83,72
EE15B069,9.54,63
EE15B070,9.02,63
EE15B071,6.61,63
EE15B072,8.44,63
EE15B073,9.57,63
EE15B074,9.59,63
EE15B075,7.38,63
EE15B076,7.74,63
EE15B077,8.21,63
EE15B078,6.9,63
EE15B079,7.97,63
EE15B080,6.96,63
EE15B081,7.58,63
EE15B082,8.31,63
EE15B083,9.05,63
EE15B084,4.83,63
EE15B085,8.64,63
EE15B086,8.46,63
EE15B087,7.29,63
EE15B088,8.22,63
EE15B089,8.32,63
EE15B090,8.98,63
EE15B091,3.45,63
EE15B092,8.78,63
EE15B093,5.06,63
EE15B094,8.78,63
EE15B095,8.1,63
EE15B096,8.39,63
EE15B097,8.5,63
EE15B098,6.44,63
EE15B099,7.72,63
EE15B100,8.23,63
EE15B101,7.75,63
EE15B102,7.65,63
EE15B103,8.93,63
EE15B104,7.34,63
EE15B105,8.78,63
EE15B106,5.59,63
EE15B107,7.75,63
EE15B108,7.79,63
EE15B109,8.49,63
EE15B110,7.21,63
EE15B111,5.18,63
EE15B112,7.96,63
EE15B113,9.38,63
EE15B114,8.74,63
EE15B115,6.06,63
EE15B116,8.2,63
EE15B117,8.56,63
EE15B118,2.73,63
EE15B119,6.25,63
EE15B120,7.85,63
EE15B121,3.02,63
EE15B122,9.99,63
EE15B123,9.87,63
EE15B124,9.73,63
EE15B125,9.15,72
EE15B126,9.64,63
EE15B127,8.7,72
EE15B128,9.29,63
EE15B129,9.15,72
EE15B130,8.57,63
EE15B131,9.23,63
EE15B132,9.25,63
EE15B133,9.29,63
EE15B134,9.65,63
EE16B001,8.39,63
EE16B002,8.42,63
EE16B003,9.69,63
EE16B004,6.76,63
EE16B005,8.07,63
EE16B006,8.95,63
EE16B007,8.88,63
EE16B008,9.16,63
EE16B009,8.94,63
EE16B010,7.56,63
EE16B011,9.94,63
EE16B012,8.78,63
EE16B013,9.08,63
EE16B014,7.95,63
EE16B015,8.26,63
EE16B016,7.63,63
EE16B017,9.2,63
EE16B018,8.15,63
EE16B019,8.26,63
EE16B020,9.02,63
EE16B021,8.61,63
EE16B022,9.64,63
EE16B023,7.82,63
EE16B024,8.63,63
EE16B025,10,63
EE16B026,9.42,63
EE16B027,6.78,63
EE16B028,8.03,63
EE16B029,5.92,63
EE16B030,8.07,63
EE16B031,9.18,63
EE16B032,8.43,63
EE16B033,9.97,63
EE16B034,8.46,63
EE16B035,7.23,63
EE16B036,9.44,63
EE16B037,8.46,63
EE16B038,4.32,63
EE16B039,8.62,63
EE16B040,9.25,63
EE16B041,8.68,63
EE16B042,8.38,63
EE16B043,7.49,63
EE16B044,9,63
EE16B045,8.87,63
EE16B046,9.24,63
EE16B047,7.59,63
EE16B048,9.5,63
EE16B049,7.88,63
EE16B050,8.05,63
EE16B051,9,63
EE16B052,3.08,63
EE16B053,7,63
EE16B054,9.16,63
EE16B055,9.3,63
EE16B056,6.55,63
EE16B057,9.13,63
EE16B058,9.41,63
EE16B059,7.53,63
EE16B060,9.43,63
EE16B061,7.96,63
EE16B062,9.29,63
EE16B063,6.8,63
EE16B064,8.86,63
EE16B065,9.57,63
EE16B066,9.06,63
EE16B067,9.65,63
EE16B068,9.53,63
EE16B069,9.38,63
EE16B070,9.35,63
EE16B071,9.13,63
EE16B073,8.72,63
