CourseNo,DepartmentCode,MaxOverall2rength,MinOtherBranch2rength,AllocationType,Credit,Slot,Additional Slot,
MA5490,MA,5,5,1,9,H,
MA5540,MA,5,5,1,9,C,
MA5710,MA,5,5,1,10,Q,
MA5720,MA,5,5,1,9,D,
MA5741,MA,5,5,1,7,P,
MA5890,MA,60,60,1,9,F,
MA5910,MA,5,5,1,12,B,
MA6080,MA,5,5,1,9,A,
MA6200,MA,5,5,1,9,D,
MA6270,MA,5,5,1,9,A,
MA6380,MA,5,5,1,9,H,
MA6470,MA,5,5,1,9,G,
ME1100,ME,350,0,1,10,A,
ME1480slotC,ME,250,250,1,7,C,
ME1480slotF,ME,250,250,1,7,F,
ME1480slotP1,ME,250,250,1,7,P1,
ME1480slotR1,ME,250,250,1,7,R1,
ME1480slotS1,ME,250,250,1,7,S1,
ME2201,ME,175,5,1,10,B,
ME3101,ME,170,0,1,10,C,
ME3103,ME,165,0,1,10,B,
ME3124,ME,10,10,1,9,D,
ME3126,ME,200,40,1,9,F,
ME3201,ME,275,20,1,10,F,
ME3250,ME,70,0,1,9,G,
ME3301,ME,170,0,1,10,A,
ME3281slotQ,ME,175,0,1,7,Q1
ME3281slotS,ME,175,0,1,7,S1
ME3481,ME,175,0,1,3,P,S
ME4550,ME,170,0,1,9,XX,
ME5012,ME,30,0,1,9,G,
ME5103,ME,80,0,1,9,A,
ME5107,ME,65,0,1,10,C,
ME5109,ME,200,0,1,10,E,
ME5128,ME,60,5,1,9,F,
ME5129,ME,30,0,1,9,D,
ME5132,ME,30,0,2,9,B,
ME5201,ME,70,10,1,10,A,
ME5204,ME,30,30,1,9,C,
ME5205,ME,70,0,1,9,C,
ME5207,ME,65,5,1,9,E,
ME5281,ME,30,0,1,3,Q,
ME5301,ME,60,0,1,9,D,
ME5303,ME,44,0,1,9,B,
ME5305,ME,120,0,1,9,F,
ME5307,ME,40,0,1,9,E,
ME5323,ME,84,0,1,9,G,
ME6060,ME,30,0,1,9,F,
ME6127,ME,60,0,1,9,F,
ME6221,ME,20,10,1,9,G,
ME6225,ME,30,10,1,9,F,
ME6226,ME,50,0,1,9,D,
ME6227,ME,30,10,1,9,G,
ME6280,ME,100,0,1,9,G,
ME6333,ME,44,0,1,9,E,
ME6580,ME,30,0,1,9,G,
ME7020,ME,35,0,1,9,C,
ME7200,ME,25,0,1,6,M,
ME7223,ME,40,10,1,9,D,
